CLAIMNUMBER,LOBCODE
030958688,10004
030958771,10004
030958784,10004
030958807,10004
030958855,10004
030958894,10004
030958943,10004
030958986,10004
030959003,10004
030959004,10004
030959033,10004
030959055,10004
030959064,10004
030959065,10004
030959086,10004
030959122,10004
030959168,10004
030959176,10004
030959204,10004
030959298,10004
030959307,10004
030959311,10004
030959321,10004
030959364,10004
030959371,10004
030959399,10004
030959400,10004
030959426,10004
030959433,10004
030959466,10004
030959529,10004
030959534,10004
030959535,10004
030959555,10004
030959556,10004
030959564,10004
030959592,10004
030959607,10004
030959609,10004
030959660,10004
030959672,10004
030959674,10004
030959708,10004
030959737,10004
030959772,10004
030959779,10004
030959799,10004
030959890,10004
030959893,10004
030959902,10004
030959912,10004
030959924,10004
030959942,10004
030959951,10004
030959965,10004
030959979,10004
030960007,10004
030960021,10004
030960048,10004
030960067,10004
030960072,10004
030960085,10004
030960087,10004
030960108,10004
030960121,10004
030960126,10004
030960127,10004
030960131,10004
030960132,10004
030960135,10004
030960173,10004
030960190,10004
030960209,10004
030960217,10004
030960224,10004
030960252,10004
030960257,10004
030960282,10004
030960284,10004
030960300,10004
030960318,10004
030960323,10004
030960327,10004
030960348,10004
030960370,10004
030960396,10004
030960403,10004
030960423,10004
030960428,10004
030960432,10004
030960488,10004
030960494,10004
030960497,10004
030960499,10004
030960501,10004
030960515,10004
030960520,10004
030960530,10004
030960538,10004
030960572,10004
030960615,10004
030960617,10004
030960637,10004
030960653,10004
030960678,10004
030960691,10004
030960741,10004
030960742,10004
030960765,10004
030960768,10004
030960779,10004
030960781,10004
030960806,10004
030960848,10004
030960851,10004
030960866,10004
030960876,10004
030960893,10004
030960922,10004
030960943,10004
030960967,10004
030960988,10004
030960996,10004
030961004,10004
030961010,10004
030961021,10004
030961048,10004
030961052,10004
030961059,10004
030961069,10004
030961117,10004
030961120,10004
030961123,10004
030961137,10004
030961141,10004
030961170,10004
030961172,10004
030961214,10004
030961217,10004
030961218,10004
030961219,10004
030961221,10004
030961228,10004
030961262,10004
030961264,10004
030961274,10004
030961276,10004
030961287,10004
030961303,10004
030961306,10004
030961309,10004
030961318,10004
030961325,10004
030961385,10004
030961392,10004
030961419,10004
030961425,10004
030961463,10004
030961509,10004
030961535,10004
030961548,10004
030961594,10004
030961613,10004
030961661,10004
030961691,10004
030961728,10004
030961735,10004
030961742,10004
030961759,10004
030961774,10004
030961821,10004
030961916,10004
030961958,10004
030962002,10004
030962009,10004
030962080,10004
030962085,10004
030962089,10004
030962109,10004
030962142,10004
030962666,10004
030962961,10004
030962965,10004
030962987,10004
030963005,10004
030963060,10004
030964327,10004
030964396,10004
030964415,10004
030964469,10004
030964526,10004
030964554,10004
030964555,10004
030964616,10004
030964655,10004
030964695,10004
030964710,10004
030964724,10004
030964769,10004
030964770,10004
030964774,10004
030964779,10004
030964842,10004
030964864,10004
030964867,10004
030964868,10004
030964871,10004
030964902,10004
030964905,10004
030964912,10004
030964982,10004
030964988,10004
030965041,10004
030965070,10004
030965083,10004
030965120,10004
030965139,10004
030965155,10004
030965185,10004
030965261,10004
030965278,10004
030965288,10004
030965290,10004
030965312,10004
030965321,10004
030965324,10004
030965342,10004
030965365,10004
030965401,10004
030965424,10004
030965433,10004
030965441,10004
030965444,10004
030965559,10004
030965578,10004
030965583,10004
030965584,10004
030965616,10004
030965659,10004
030965679,10004
030965680,10004
030965687,10004
030965689,10004
030965721,10004
030965732,10004
030965748,10004
030965764,10004
030965788,10004
030965801,10004
030965806,10004
030965811,10004
030965818,10004
030965839,10004
030965882,10004
030965892,10004
030965898,10004
030965929,10004
030965935,10004
030965958,10004
030966045,10004
030966051,10004
030966076,10004
030966082,10004
030966107,10004
030966129,10004
030966138,10004
030966141,10004
030966147,10004
030966154,10004
030966156,10004
030966168,10004
030966180,10004
030966189,10004
030966192,10004
030966200,10004
030966201,10004
030966208,10004
030966221,10004
030966238,10004
030966278,10004
030966303,10004
030966350,10004
030966362,10004
030966373,10004
030966381,10004
030966383,10004
030966406,10004
030966409,10004
030966419,10004
030966430,10004
030966470,10004
030966489,10004
030966525,10004
030966538,10004
030966544,10004
030966560,10004
030966561,10004
030966569,10004
030966598,10004
030966610,10004
030966653,10004
030966663,10004
030966678,10004
030966682,10004
030966706,10004
030966707,10004
030966709,10004
030966710,10004
030966771,10004
030966797,10004
030966810,10004
030966813,10004
030966851,10004
030966873,10004
030966906,10004
030966911,10004
030966947,10004
030966961,10004
030966975,10004
030966980,10004
030966984,10004
030967016,10004
030967047,10004
030967070,10004
030967077,10004
030967084,10004
030967113,10004
030967115,10004
030967129,10004
030967139,10004
030967141,10004
030967144,10004
030967152,10004
030967153,10004
030967165,10004
030967188,10004
030967192,10004
030967213,10004
030967246,10004
030967256,10004
030967259,10004
030967286,10004
030967371,10004
030967377,10004
030967393,10004
030967409,10004
030967411,10004
030967413,10004
030967433,10004
030967434,10004
030967443,10004
030967444,10004
030967470,10004
030967472,10004
030967476,10004
030967486,10004
030967494,10004
030967530,10004
030967532,10004
030967541,10004
030967558,10004
030967562,10004
030967564,10004
030967568,10004
030967575,10004
030967578,10004
030967590,10004
030967600,10004
030967641,10004
030967642,10004
030967654,10004
030967677,10004
030967682,10004
030967685,10004
030967722,10004
030967730,10004
030967766,10004
030967769,10004
030967788,10004
030967794,10004
030967798,10004
030967815,10004
030967826,10004
030967841,10004
030967879,10004
030967884,10004
030967915,10004
030967939,10004
030967945,10004
030967968,10004
030967971,10004
030968034,10004
030968049,10004
030968087,10004
030968091,10004
030968126,10004
030968127,10004
030968142,10004
030968172,10004
030968189,10004
030968196,10004
030968205,10004
030968206,10004
030968212,10004
030968217,10004
030968258,10004
030968269,10004
030968292,10004
030968319,10004
030968364,10004
030968423,10004
030968432,10004
030968450,10004
030968470,10004
030968493,10004
030968515,10004
030968517,10004
030968527,10004
030968542,10004
030968580,10004
030968593,10004
030968608,10004
030968619,10004
030968699,10004
030968727,10004
030968769,10004
030968776,10004
030968796,10004
030968849,10004
030968850,10004
030968891,10004
030968898,10004
030968916,10004
030968969,10004
030968998,10004
030970131,10004
030970143,10004
030970355,10004
030970357,10004
030970375,10004
030970400,10004
030970408,10004
030970409,10004
030970486,10004
030970496,10004
030970500,10004
030970507,10004
030970552,10004
030970577,10004
030970606,10004
030970647,10004
030970654,10004
030970664,10004
030970693,10004
030970702,10004
030970724,10004
030970737,10004
030970756,10004
030970765,10004
030970770,10004
030970787,10004
030970798,10004
030970800,10004
030970949,10004
030970950,10004
030970952,10004
030970999,10004
030971000,10004
030971069,10004
030971079,10004
030971083,10004
030971090,10004
030971113,10004
030971123,10004
030971134,10004
030971170,10004
030971216,10004
030971239,10004
030971250,10004
030971267,10004
030971286,10004
030971295,10004
030971299,10004
030971304,10004
030971326,10004
030971355,10004
030971358,10004
030971372,10004
030971396,10004
030971441,10004
030971444,10004
030971461,10004
030971475,10004
030971493,10004
030971511,10004
030971513,10004
030971562,10004
030971571,10004
030971580,10004
030971606,10004
030971607,10004
030971632,10004
030971683,10004
030971692,10004
030971696,10004
030971704,10004
030971731,10004
030971735,10004
030971745,10004
030971767,10004
030971790,10004
030971795,10004
030971879,10004
030971894,10004
030971911,10004
030971922,10004
030971944,10004
030971962,10004
030971964,10004
