CLAIMNUMBER,LOBCODE
030932823,10004
030986071,10001
030932891,10004
030986127,10001
030932980,10004
030986143,10001
030932998,10004
030986176,10001
030933002,10004
030986181,10001
030933048,10004
030986192,10001
030933062,10004
030986221,10001
030933080,10004
030986315,10001
030933091,10004
030986335,10001
030933119,10004
030986352,10001
030933159,10004
030986354,10001
030933201,10004
030986381,10001
030933353,10004
030986390,10001
030933412,10004
030986398,10001
030933440,10004
030986444,10001
030933506,10004
030986448,10001
030933508,10004
030986452,10001
030933553,10004
030986496,10001
030933558,10004
030986517,10001
030933573,10004
030986542,10001
030933575,10004
030986561,10001
030933582,10004
030986586,10001
030933602,10004
030986591,10001
030933604,10004
030986657,10001
030933655,10004
030986688,10001
030933706,10004
030986693,10001
030933719,10004
030986697,10001
030933774,10004
030986749,10001
030933802,10004
030986769,10001
030933823,10004
030986790,10001
030933842,10004
030986799,10001
030933883,10004
030986802,10001
030933888,10004
030986820,10001
030933892,10004
030986837,10001
030933918,10004
030986852,10001
030933974,10004
030986856,10001
030933975,10004
030986866,10001
030934010,10004
030986875,10001
030934054,10004
030986886,10001
030934085,10004
030986887,10001
030934123,10004
030986913,10001
030934159,10004
030986940,10001
030934186,10004
030986942,10001
030934271,10004
030987036,10001
030934346,10004
030987038,10001
030934406,10004
030987040,10001
030934415,10004
030987054,10001
030934470,10004
030987106,10001
030934485,10004
030987129,10001
030934576,10004
030987138,10001
030934584,10004
030987153,10001
030934597,10004
030987165,10001
030934608,10004
030987178,10001
030934696,10004
030987245,10001
030934763,10004
030987316,10001
030934785,10004
030987344,10001
030934902,10004
030987364,10001
030934922,10004
030987374,10001
030935038,10004
030987382,10001
030935044,10004
030987385,10001
030935076,10004
030987389,10001
030935133,10004
030987392,10001
030935159,10004
030987438,10001
030935190,10004
030987449,10001
030935219,10004
030987476,10001
030935224,10004
030987502,10001
030935339,10004
030987583,10001
030935368,10004
030987671,10001
030935390,10004
030987675,10001
030935747,10004
030987690,10001
030935751,10004
030987704,10001
030935792,10004
030987712,10001
030935843,10004
030987716,10001
030936012,10004
030987746,10001
030936019,10004
030987777,10001
030936105,10004
030987816,10001
030936119,10004
030987908,10001
030936159,10004
030987912,10001
030936163,10004
030987931,10001
030936186,10004
030987953,10001
030936210,10004
030987983,10001
030936213,10004
030987986,10001
030936218,10004
030988063,10001
030936259,10004
030988080,10001
030937505,10004
030988091,10001
030937631,10004
030937744,10004
030988127,10001
030937874,10004
030988201,10001
030937893,10004
030988203,10001
030938000,10004
030988205,10001
030938040,10004
030988215,10001
030938053,10004
030988243,10001
030988331,10001
030938304,10004
030988344,10001
030938308,10004
030988349,10001
030938323,10004
030938353,10004
030988366,10001
030938385,10004
030988427,10001
030938413,10004
030988454,10001
030938496,10004
030988463,10001
030938506,10004
030988478,10001
030938633,10004
030988506,10001
030938652,10004
030988522,10001
030938664,10004
030988547,10001
030938833,10004
030988553,10001
030938928,10004
030988583,10001
030938935,10004
030988596,10001
030988610,10001
030938995,10004
030988612,10001
030939064,10004
030988613,10001
030939071,10004
030988619,10001
030939096,10004
030988654,10001
030939104,10004
030939139,10004
030988782,10001
030939142,10004
030939169,10004
030988871,10001
030939202,10004
030988873,10001
030939236,10004
030988900,10001
030939289,10004
030988918,10001
030939315,10004
030988927,10001
030939353,10004
030988945,10001
030939456,10004
030988958,10001
030939463,10004
030988978,10001
030939479,10004
030989007,10001
030939516,10004
030989073,10001
030939529,10004
030989084,10001
030939624,10004
030989119,10001
030939643,10004
030989158,10001
030939934,10004
030989162,10001
030940048,10004
030989171,10001
030940142,10004
030989200,10001
030942288,10004
030989231,10001
030942376,10004
030989338,10001
030942389,10004
030989343,10001
030942425,10004
030989362,10001
030942431,10004
030989389,10001
030942465,10004
030989411,10001
030942502,10004
030989422,10001
030942533,10004
030989480,10001
030942595,10004
030989560,10001
030942622,10004
030989565,10001
030942659,10004
030989566,10001
030942701,10004
030989584,10001
030942833,10004
030989590,10001
030942937,10004
030989635,10001
030942948,10004
030989768,10001
030942994,10004
030943015,10004
030943093,10004
030989865,10001
030991093,10001
030943191,10004
030991144,10001
030943339,10004
030943497,10004
044708580,10001
030943534,10004
030943564,10004
044708587,10001
030943590,10004
044708593,10001
030943670,10004
044708602,10001
030943764,10004
030943881,10004
044708630,10001
030944000,10004
044708632,10001
030944024,10004
030944036,10004
044708662,10001
030944297,10004
030944379,10004
044708682,10001
030944417,10004
044708698,10001
030944426,10004
044708699,10001
030945619,10004
044708716,10001
030945648,10004
030945677,10004
030945752,10004
044708743,10001
030945883,10004
030945903,10004
044708781,10001
030945930,10004
044708790,10001
030945935,10004
030946012,10004
044708820,10001
030946060,10004
030946107,10004
044708842,10001
030946127,10004
044708858,10001
030946153,10004
044708869,10001
030946196,10004
030946236,10004
044708876,10001
030946369,10004
030946384,10004
044708906,10001
030946434,10004
030946444,10004
044708947,10001
030946445,10004
044708956,10001
030946478,10004
030946627,10004
044708990,10001
030946644,10004
030946652,10004
044709001,10001
030946703,10004
044709024,10001
030946748,10004
030946751,10004
044709031,10001
030946769,10004
044709034,10001
030946792,10004
030946864,10004
044709074,10001
030946882,10004
030946943,10004
044709115,10001
030947006,10004
044709116,10001
030947010,10004
044709123,10001
030947025,10004
044709154,10001
030947093,10004
044709156,10001
030947197,10004
044709159,10001
030947205,10004
044709178,10001
030947262,10004
044709183,10001
030947315,10004
044709200,10001
030947361,10004
044709201,10001
030947382,10004
044709218,10001
030947489,10004
044709239,10001
030947535,10004
044709240,10001
030947598,10004
044709279,10001
030947625,10004
044709280,10001
030947736,10004
044709285,10001
030947820,10004
044709305,10001
030947853,10004
044709322,10001
030947881,10004
044709326,10001
030947931,10004
044709330,10001
030947960,10004
044709340,10001
030947967,10004
044709342,10001
030947976,10004
044709368,10001
030947982,10004
044709370,10001
030947999,10004
044709408,10001
030948009,10004
044709414,10001
030948027,10004
044709418,10001
030948030,10004
044709432,10001
030948043,10004
044709452,10001
030948063,10004
044709473,10001
030948093,10004
044709486,10001
030948150,10004
044709492,10001
030948161,10004
044709498,10001
030948182,10004
044709506,10001
030948201,10004
044709512,10001
030948220,10004
044709530,10001
030948225,10004
044709533,10001
030948250,10004
044709584,10001
030948251,10004
044709636,10001
030948290,10004
044709640,10001
030948307,10004
044709645,10001
030948334,10004
044709654,10001
030948356,10004
044709680,10001
030948400,10004
044709748,10001
030948410,10004
044709782,10001
030948435,10004
044709797,10001
030948446,10004
044709811,10001
030948451,10004
044709825,10001
030948501,10004
030948521,10004
044709919,10001
030948630,10004
044709932,10001
044710002,10001
030948665,10004
030948678,10004
030948744,10004
030948788,10004
030948791,10004
030948800,10004
030948839,10004
030948860,10004
030948873,10004
030948879,10004
030948894,10004
030948905,10004
030948933,10004
030948936,10004
030948971,10004
030949001,10004
030949003,10004
030949011,10004
030949088,10004
030949101,10004
030949109,10004
030949113,10004
030949121,10004
030949179,10004
030949189,10004
030949215,10004
030949219,10004
030949239,10004
030949286,10004
030949306,10004
030949313,10004
030949331,10004
030949355,10004
030949362,10004
030949452,10004
030949565,10004
030949585,10004
030949588,10004
030949605,10004
030949608,10004
030949623,10004
030949731,10004
030949783,10004
030949800,10004
030949818,10004
030949853,10004
030949902,10004
030949904,10004
030949954,10004
030950037,10004
030950048,10004
030950079,10004
030950115,10004
030950147,10004
030950188,10004
030950217,10004
030950252,10004
030950271,10004
030950378,10004
030950390,10004
030950392,10004
030950466,10004
030950467,10004
030950481,10004
030950515,10004
030950545,10004
030950575,10004
030950621,10004
030950626,10004
030950631,10004
030950671,10004
030950698,10004
030950705,10004
030950709,10004
030950718,10004
030950739,10004
030950754,10004
030950929,10004
030950943,10004
030950968,10004
030950969,10004
030951000,10004
030951186,10004
030951208,10004
030951228,10004
030951263,10004
030951290,10004
030951303,10004
030951321,10004
030951332,10004
030951334,10004
030951337,10004
030951345,10004
030951369,10004
030951412,10004
030951450,10004
030951511,10004
030951637,10004
030951642,10004
030951665,10004
030951715,10004
030953031,10004
030953075,10004
030953114,10004
030953130,10004
030953176,10004
030953255,10004
030953263,10004
030953339,10004
030953377,10004
030953417,10004
030953466,10004
030953489,10004
030953500,10004
030953511,10004
030953538,10004
030953539,10004
030953621,10004
030953655,10004
030953678,10004
030953695,10004
030953731,10004
030953732,10004
030953833,10004
030953844,10004
030953848,10004
030953897,10004
030954044,10004
030954049,10004
030954068,10004
030954071,10004
030954166,10004
030954171,10004
030954211,10004
030954266,10004
030954277,10004
030954308,10004
030954353,10004
030954358,10004
030954367,10004
030954383,10004
030954395,10004
030954414,10004
030954450,10004
030954481,10004
030954494,10004
030954495,10004
030954549,10004
030954571,10004
030954600,10004
030954661,10004
030954683,10004
030954697,10004
030954728,10004
030954732,10004
030954770,10004
030954791,10004
030954837,10004
030954838,10004
030954850,10004
030954886,10004
030954887,10004
030954916,10004
030954972,10004
030954991,10004
030955009,10004
030955033,10004
030955034,10004
030955108,10004
030955112,10004
030955138,10004
030955149,10004
030955154,10004
030955176,10004
030955191,10004
030955238,10004
030955244,10004
030955247,10004
030955285,10004
030955333,10004
030955336,10004
030955339,10004
030955371,10004
030955424,10004
030955437,10004
030955444,10004
030955473,10004
030955475,10004
030955511,10004
030955585,10004
030955587,10004
030955606,10004
030955641,10004
030955644,10004
030955645,10004
030955677,10004
030955690,10004
030955716,10004
030955744,10004
030955767,10004
030955770,10004
030955797,10004
030955829,10004
030955830,10004
030955855,10004
030955992,10004
030955996,10004
030956023,10004
030956027,10004
030956039,10004
030956067,10004
030956080,10004
030956086,10004
030956113,10004
030956203,10004
030956241,10004
030956244,10004
030956252,10004
030956273,10004
030956292,10004
030956310,10004
030956332,10004
030956349,10004
030956350,10004
030956383,10004
030956397,10004
030956399,10004
030956403,10004
030956435,10004
030956466,10004
030956523,10004
030956558,10004
030956578,10004
030956601,10004
030956641,10004
030956693,10004
